name,type,typeLocal,ref,substitutionGroup,substitutionGroupLocal,abstract,nillable,documentation
VehicleOdometerReadingMeasure,nc:LengthMeasureType,LengthMeasureType,,,,False,True,A reading of a vehicle odometer to the nearest mile or kilometer.
VehiclePassengerSafeQuantity,niem-xs:nonNegativeInteger,nonNegativeInteger,,,,False,True,A total number of people a vehicle is designed to safely transport.
VehicleSeatingQuantity,niem-xs:nonNegativeInteger,nonNegativeInteger,,,,False,True,A total number of seats available in a vehicle.
VehicleTowerAssociation,nc:ItemEntityAssociationType,ItemEntityAssociationType,,,,False,True,An association between a vehicle and the entity that towed it.
VehicleTransmissionCategoryAbstract,,,,,,True,False,A data concept for a kind of transmission unit in a vehicle.
VehicleTransmissionCategoryText,nc:TextType,TextType,,nc:VehicleTransmissionCategoryAbstract,VehicleTransmissionCategoryAbstract,False,True,A kind of transmission unit in a vehicle.
VehicleUnladenWeightMeasure,nc:WeightMeasureType,WeightMeasureType,,,,False,True,"A weight of a vehicle fully equipped for service, not including the weight of the payload."
VehicleUseText,nc:TextType,TextType,,nc:ConveyanceUseAbstract,ConveyanceUseAbstract,False,True,A manner or way in which a vehicle is used.
VelocityMeasure,nc:VelocityMeasureType,VelocityMeasureType,,,,False,True,A measure of the rate of change of position along a straight line with respect to time.
VelocityMeasureAugmentationPoint,,,,,,True,False,An augmentation point for VelocityMeasureType.
Vessel,nc:VesselType,VesselType,,,,False,True,A mode of transportation capable of transport by water.
VesselAugmentationPoint,,,,,,True,False,An augmentation point for VesselType.
VesselCategoryAbstract,,,,,,True,False,A data concept for a kind of vessel.
VesselHullIdentification,nc:IdentificationType,IdentificationType,,,,False,True,An identification found on the main body or frame of a vessel.
VesselHullMaterialAbstract,,,,,,True,False,A data concept for a substance used as the primary construction material of the main body or frame of a vessel.
VesselHullMaterialText,nc:TextType,TextType,,nc:VesselHullMaterialAbstract,VesselHullMaterialAbstract,False,True,A substance used as the primary construction material of the main body or frame of a vessel.
VesselHullShapeAbstract,,,,,,True,False,A data concept for a shape of the main body or frame of a vessel.
VesselHullShapeText,nc:TextType,TextType,,nc:VesselHullShapeAbstract,VesselHullShapeAbstract,False,True,A shape of the main body or frame of a vessel.
VesselMakeAbstract,,,,,,True,False,A data concept for a manufacturer of a vessel.
VesselPropulsionAbstract,,,,,,True,False,A data concept for a mode by which a vessel is designed to move through the water.
VesselPropulsionText,nc:TextType,TextType,,nc:VesselPropulsionAbstract,VesselPropulsionAbstract,False,True,A mode by which a vessel is designed to move through the water.
VesselTrailer,nc:VehicleType,VehicleType,,,,False,True,A device pulled by a vehicle for the purpose of transporting a vessel over land.
