source,target,relation
DeviceType,DeviceElectronicAddress,hasElement
DeviceType,DeviceStoredContactInformation,hasElement
DeviceType,DeviceAugmentationPoint,hasElement
DirectDialTelephoneNumberType,ObjectType,extends
DirectDialTelephoneNumberType,DirectDialTelephoneNetworkText,hasElement
DirectDialTelephoneNumberType,DirectDialTelephoneNumberID,hasElement
DirectDialTelephoneNumberType,DirectDialTelephoneNumberAugmentationPoint,hasElement
DirectionCodeType,DirectionCodeSimpleType,extends
DisciplinaryActionType,ActivityType,extends
DisciplinaryActionType,DisciplinaryActionPerson,hasElement
DisciplinaryActionType,DisciplinaryActionAssigner,hasElement
DisciplinaryActionType,DisciplinaryActionCommunityService,hasElement
DisciplinaryActionType,DisciplinaryActionEnforcer,hasElement
DisciplinaryActionType,DisciplinaryActionCounseling,hasElement
DisciplinaryActionType,DisciplinaryActionFee,hasElement
DisciplinaryActionType,DisciplinaryActionProgram,hasElement
DisciplinaryActionType,DisciplinaryActionRestitution,hasElement
DisciplinaryActionType,DisciplinaryActionAugmentationPoint,hasElement
DispositionType,ObjectType,extends
DispositionType,DispositionCategoryAbstract,hasElement
DispositionType,DispositionEntity,hasElement
DispositionType,DispositionDate,hasElement
DispositionType,DispositionDescriptionText,hasElement
DispositionType,DispositionReasonAbstract,hasElement
DispositionType,DispositionReportedAuthorityText,hasElement
DispositionType,DispositionText,hasElement
DispositionType,DispositionInstrument,hasElement
DispositionType,DispositionAugmentationPoint,hasElement
DocumentAssociationType,AssociationType,extends
DocumentAssociationType,PrimaryDocument,hasElement
DocumentAssociationType,SecondaryDocument,hasElement
DocumentAssociationType,DocumentRelationAbstract,hasElement
DocumentAssociationType,DocumentAssociationAugmentationPoint,hasElement
DocumentType,ObjectType,extends
DocumentType,DocumentApprovedIndicator,hasElement
DocumentType,DocumentAuthor,hasElement
DocumentType,DocumentCategoryAbstract,hasElement
DocumentType,DocumentCategoryDescriptionText,hasElement
DocumentType,DocumentContentAbstract,hasElement
DocumentType,DocumentContentListText,hasElement
DocumentType,DocumentContributor,hasElement
DocumentType,DocumentCopyrightIndicator,hasElement
DocumentType,DocumentCountry,hasElement
DocumentType,DocumentCoverageAbstract,hasElement
DocumentType,DocumentCreationDate,hasElement
DocumentType,DocumentDescriptionText,hasElement
DocumentType,DocumentDispositionAuthorityName,hasElement
DocumentType,DocumentDispositionInstructionText,hasElement
DocumentType,DocumentDisputedIndicator,hasElement
DocumentType,DocumentDisputedReasonAbstract,hasElement
DocumentType,DocumentEffectiveDate,hasElement
DocumentType,DocumentEntrySubmitter,hasElement
DocumentType,DocumentEUDataPrivacyIndicator,hasElement
DocumentType,DocumentExpirationDate,hasElement
DocumentType,DocumentFileControlID,hasElement
DocumentType,DocumentFiledDate,hasElement
DocumentType,DocumentFileExtensionText,hasElement
DocumentType,DocumentFileName,hasElement
DocumentType,DocumentFormatCategoryAbstract,hasElement
DocumentType,DocumentFormatAbstract,hasElement
DocumentType,DocumentGroupID,hasElement
DocumentType,DocumentIdentification,hasElement
DocumentType,DocumentInformationCutOffDate,hasElement
DocumentType,DocumentIntelligenceCategoryAbstract,hasElement
DocumentType,DocumentIssuanceLocation,hasElement
DocumentType,DocumentIssueDate,hasElement
DocumentType,DocumentKeywordAbstract,hasElement
DocumentType,DocumentLanguage,hasElement
DocumentType,DocumentLastModifiedDate,hasElement
DocumentType,DocumentLocation,hasElement
