name,base,baseLocal,childCount,children,documentation,kind
OrganizationAssociationType,nc:AssociationType,AssociationType,2,"[""Organization"", ""OrganizationAssociationAugmentationPoint""]",A data type for an association between organizations.,complexContent-extension
OrganizationFacilityAssociationType,nc:AssociationType,AssociationType,3,"[""Facility"", ""Organization"", ""OrganizationFacilityAssociationAugmentationPoint""]",A data type for an association between an organization and a facility.,complexContent-extension
OrganizationLocationAssociationType,nc:AssociationType,AssociationType,3,"[""Location"", ""Organization"", ""OrganizationLocationAssociationAugmentationPoint""]",A data type for an association between an organization and a location.,complexContent-extension
OrganizationType,structures:ObjectType,ObjectType,39,"[""OrganizationAbbreviationText"", ""OrganizationActiveIndicator"", ""OrganizationActivityAbstract"", ""OrganizationBranchName"", ""OrganizationCategoryAbstract"", ""OrganizationDayContactInformation"", ""OrganizationDescriptionText"", ""OrganizationDoingBusinessAsName"", ""OrganizationEmergencyContactInformation"", ""OrganizationEstablishedDate"", ""OrganizationEveningContactInformation"", ""OrganizationForeignAffiliate"", ""OrganizationIdentification"", ""OrganizationIncorporatedIndicator"", ""OrganizationIncorporationDate"", ""OrganizationIncorporationLocation"", ""OrganizationJurisdiction"", ""OrganizationLEIIdentification"", ""OrganizationLicenseIdentification"", ""OrganizationLocalIdentification"", ""OrganizationLocation"", ""OrganizationName"", ""OrganizationNameEffectiveDate"", ""OrganizationNameTerminationDate"", ""OrganizationNightContactInformation"", ""OrganizationOtherIdentification"", ""OrganizationParentAbstract"", ""OrganizationPrimaryContactInformation"", ""OrganizationPrincipalOfficial"", ""OrganizationServiceHoursAbstract"", ""OrganizationSizeAbstract"", ""OrganizationStatus"", ""OrganizationSubUnit"", ""OrganizationSubUnitName"", ""OrganizationTaxIdentification"", ""OrganizationTerminationDate"", ""OrganizationUnitName"", ""OrganizationValidDate"", ""OrganizationAugmentationPoint""]",A data type for a body of people organized for a particular purpose.,complexContent-extension
OrganizationUnitAssociationType,nc:AssociationType,AssociationType,3,"[""Organization"", ""OrganizationUnit"", ""OrganizationUnitAssociationAugmentationPoint""]",A data type for an association between an organization and another organization or unit.,complexContent-extension
OrientationType,structures:ObjectType,ObjectType,4,"[""AzimuthAbstract"", ""InclinationAbstract"", ""RollValue"", ""OrientationAugmentationPoint""]","A data type for the angles of rotation about the principle axes (normal, lateral, longitudinal) of a thing, relative to true north and the horizontal plane, measured in degrees.",complexContent-extension
PassportCategoryCodeType,nc:PassportCategoryCodeSimpleType,PassportCategoryCodeSimpleType,0,[],A data type for a kind of passport.,simpleContent-wrapper
PassportType,nc:IdentificationType,IdentificationType,5,"[""PassportNumberIdentification"", ""PassportBookIdentification"", ""PassportCategoryAbstract"", ""PassportTransmissionTrackingID"", ""PassportAugmentationPoint""]",A data type for a government-issued document that authenticates the identity and citizenship of a person.,complexContent-extension
PaymentMethodCodeType,nc:PaymentMethodCodeSimpleType,PaymentMethodCodeSimpleType,0,[],A data type for a specific method of payment.,simpleContent-wrapper
PaymentType,structures:ObjectType,ObjectType,3,"[""PaymentAmount"", ""PaymentMethodAbstract"", ""PaymentAugmentationPoint""]",A data type for a monetary payment.,complexContent-extension
PercentType,niem-xs:decimal,decimal,0,[],"A data type for a ratio, proper fraction, or percentage, with 100% represented as the value 100.",simpleContent-wrapper
PermitType,structures:ObjectType,ObjectType,6,"[""PermitIdentification"", ""PermitCategoryAbstract"", ""PermitRenewalDate"", ""PermitStartDate"", ""PermitUsageAbstract"", ""PermitAugmentationPoint""]",A data type for a permit or official document giving a person or entity authorization to do something.,complexContent-extension
PersonAssociationType,nc:AssociationType,AssociationType,2,"[""Person"", ""PersonAssociationAugmentationPoint""]",A data type for an association between people.,complexContent-extension
PersonCitizenshipType,structures:ObjectType,ObjectType,4,"[""PersonCitizenshipCountry"", ""PersonCitizenshipCategoryAbstract"", ""PersonCitizenshipStatus"", ""PersonCitizenshipAugmentationPoint""]","A data type for a person's position or status with a country that assigns rights, duties, and privileges because of the birth or naturalization of the person in that country.",complexContent-extension
PersonConveyanceAssociationType,nc:AssociationType,AssociationType,3,"[""Person"", ""Conveyance"", ""PersonConveyanceAssociationAugmentationPoint""]",A data type for an association between a person and a conveyance.,complexContent-extension
PersonDisunionType,nc:ActivityType,ActivityType,4,"[""PersonDisunionDecreeIndicator"", ""PersonDisunionPendingIndicator"", ""PersonDisunionReasonText"", ""PersonDisunionAugmentationPoint""]",A data type for a legal termination of a Person Union.,complexContent-extension
PersonDocumentAssociationType,nc:AssociationType,AssociationType,3,"[""Person"", ""Document"", ""PersonDocumentAssociationAugmentationPoint""]",A data type for an association between a person and a document.,complexContent-extension
PersonEncounterType,nc:ActivityType,ActivityType,10,"[""PersonArmedIndicator"", ""PersonAssaultedOfficerIndicator"", ""PersonPossessCreditCardIndicator"", ""PersonFraudulentIdentificationIndicator"", ""PersonJuvenileClaimedIndicator"", ""PersonJuvenileVerifiedIndicator"", ""EncounterClassification"", ""EncounterCommentText"", ""FingerprintTakenIndicator"", ""PersonEncounterAugmentationPoint""]","A data type for an encounter between a person of interest and a governmental element, such as an organization, official or surveillance system.",complexContent-extension
PersonIdentityAssociationType,nc:AssociationType,AssociationType,4,"[""Person"", ""Identity"", ""IdentityStolenIndicator"", ""PersonIdentityAssociationAugmentationPoint""]",A data type for an association between a person and an identity.,complexContent-extension
PersonLanguageType,structures:ObjectType,ObjectType,6,"[""Language"", ""PersonComprehendsSpokenLanguageIndicator"", ""PersonReadsLanguageIndicator"", ""PersonSpeaksLanguageIndicator"", ""PersonWritesLanguageIndicator"", ""PersonLanguageAugmentationPoint""]",A data type for a language capability of a person.,complexContent-extension
PersonLocationAssociationType,nc:AssociationType,AssociationType,3,"[""Person"", ""Location"", ""PersonLocationAssociationAugmentationPoint""]",A data type for an association between a person and a location.,complexContent-extension
PersonNameCategoryCodeType,nc:PersonNameCategoryCodeSimpleType,PersonNameCategoryCodeSimpleType,0,[],A data type for a kind of person name.,simpleContent-wrapper
PersonNameTextType,nc:ProperNameTextType,ProperNameTextType,0,[],"A data type for a name by which a person is known, referred, or addressed.",simpleContent-wrapper
PersonNameType,structures:ObjectType,ObjectType,14,"[""PersonNamePrefixAbstract"", ""PersonGivenName"", ""PersonMiddleName"", ""PersonSurName"", ""PersonNameSuffixText"", ""PersonMaidenName"", ""PersonFullName"", ""PersonNameCategoryAbstract"", ""PersonNameSalutationText"", ""PersonOfficialGivenName"", ""PersonPreferredName"", ""PersonSurNamePrefixText"", ""EffectiveDate"", ""PersonNameAugmentationPoint""]",A data type for a combination of names and/or titles by which a person is known.,complexContent-extension
PersonNationalityType,structures:ObjectType,ObjectType,4,"[""PersonNationalityCountry"", ""PersonNationalityCategoryAbstract"", ""PersonNationalityStatus"", ""PersonNationalityAugmentationPoint""]",A data type for a person's position or status with a country that grants a person citizenship or a country in which a person is deemed a national.,complexContent-extension
PersonOrganizationAssociationType,nc:AssociationType,AssociationType,3,"[""Person"", ""Organization"", ""PersonOrganizationAssociationAugmentationPoint""]",A data type for an association between a person and an organization.,complexContent-extension
PersonPronounsCodeType,nc:PersonPronounsCodeSimpleType,PersonPronounsCodeSimpleType,0,[],A data type for a set of third-person pronouns that can be used in place of a person's name.,simpleContent-wrapper
PersonResidenceAssociationType,nc:PersonLocationAssociationType,PersonLocationAssociationType,5,"[""ResidenceDescriptionText"", ""ResidenceOccupancyCategoryAbstract"", ""ResidencePaymentAmount"", ""ResidencePaymentPeriodAbstract"", ""PersonResidenceAssociationAugmentationPoint""]",A data type for an association between a person and a location where that person lives.,complexContent-extension
